DATE	aptpriceindex	cd	unemploymentrate	constructionpricerate	cpi
Jan-15	73.1	2	3.7	100.4	94.643
Feb-15	73.3	2	4.5	100.18	94.587
Mar-15	73.7	1.75	4	100.07	94.596
Apr-15	74.3	1.75	3.9	99.76	94.625
May-15	74.8	1.75	3.7	99.69	94.89
Jun-15	75.2	1.5	3.8	99.63	94.909
Jul-15	75.6	1.5	3.6	99.67	95.08
Aug-15	76	1.5	3.4	99.56	95.213
Sep-15	76.4	1.5	3.2	100.61	94.966
Oct-15	76.8	1.5	3.1	100.44	94.966
Nov-15	77.2	1.5	3	100.25	94.786
Dec-15	77.4	1.5	3.2	99.73	95.07
Jan-16	77.5	1.5	3.7	100.35	95.232
Feb-16	77.5	1.5	4.9	100.26	95.64
Mar-16	77.5	1.5	4.2	100.41	95.393
Apr-16	77.5	1.5	3.9	101.12	95.573
May-16	77.6	1.5	3.6	101.4	95.63
Jun-16	77.7	1.25	3.6	101.75	95.611
Jul-16	77.9	1.25	3.5	101.76	95.431
Aug-16	78.1	1.25	3.6	101.62	95.677
Sep-16	78.2	1.25	3.5	103.3	96.247
Oct-16	78.5	1.25	3.3	103.41	96.379
Nov-16	78.8	1.25	3.1	103.64	96.237
Dec-16	78.9	1.25	3.2	104.09	96.342
Jan-17	78.9	1.25	3.7	106.12	97.366
Feb-17	78.9	1.25	4.9	106.3	97.632
Mar-17	79	1.25	4.1	106.31	97.565
Apr-17	79.1	1.25	4.2	106.29	97.442
May-17	79.3	1.25	3.6	106.19	97.546
Jun-17	79.6	1.25	3.8	106.12	97.338
Jul-17	79.9	1.25	3.4	106.09	97.499
Aug-17	80.3	1.25	3.6	106.3	98.058
Sep-17	80.4	1.25	3.3	108.45	98.172
Oct-17	80.6	1.25	3.2	108.74	98.077
Nov-17	80.8	1.5	3.1	108.81	97.347
Dec-17	81	1.5	3.3	108.91	97.698
Jan-18	81.4	1.5	3.7	110.65	98.106
Feb-18	81.9	1.5	4.6	110.66	98.855
Mar-18	82.2	1.5	4.5	110.7	98.751
Apr-18	82.3	1.5	4.1	110.86	98.931
May-18	82.4	1.5	4	110.92	98.979
Jun-18	82.4	1.5	3.7	111.3	98.779
Jul-18	82.5	1.5	3.7	111.38	98.59
Aug-18	82.6	1.5	4	111.35	99.462
Sep-18	83.4	1.5	3.6	114.07	100.221
Oct-18	83.8	1.5	3.5	114.31	100.041
Nov-18	83.9	1.75	3.2	114.13	99.33
Dec-18	83.9	1.75	3.4	113.97	98.988
Jan-19	83.7	1.75	4.5	115.96	98.884
Feb-19	83.5	1.75	4.7	115.93	99.311
Mar-19	83.2	1.75	4.3	116.05	99.121
Apr-19	82.9	1.75	4.4	116.08	99.481
May-19	82.6	1.75	4	116.1	99.652
Jun-19	82.5	1.75	4	116.06	99.491
Jul-19	82.4	1.5	3.9	116.06	99.187
Aug-19	82.4	1.5	3	116.03	99.425
Sep-19	82.5	1.5	3.1	117.61	99.794
Oct-19	82.8	1.25	3	117.41	100.041
Nov-19	83.2	1.25	3.1	117.31	99.481
Dec-19	83.9	1.25	3.4	117.33	99.719
Jan-20	84.3	1.25	4.1	118.3	100.09
Feb-20	84.9	1.25	4.1	118.3	100.16
Mar-20	86.1	0.75	4.2	118.06	99.94
Apr-20	86.7	0.75	4.2	117.93	99.5
May-20	87	0.5	4.5	117.95	99.44
Jun-20	87.6	0.5	4.3	118.07	99.71
Jul-20	88.6	0.5	4	117.95	99.63
Aug-20	89.2	0.5	3.1	118.1	100.19
Sep-20	89.7	0.5	3.6	119.87	100.74
Oct-20	90	0.5	3.7	119.9	100.18
